plec,wynagrodzenie_brutto,rok_rozpoczecia,rok_zakonczenia,suma_wplaconych_skladek,emerytura_nominalna,zadowolony
k,28206,2024,2059,6675,12423.138667874058,True
m,18012,2031,2050,60628,4318.21,False
k,9394,2025,2061,41374,6068.21,False
m,10522,2024,2059,10019,5706.34,False
m,26322,2027,2063,12507,13707.673437505713,True
m,12969,2035,2063,57196,6451.77,False
k,8679,2025,2060,3478,5884.61,False
m,19280,2025,2053,20116,7661.070212223805,True
m,20096,2024,2056,22898,9747.627745687241,True
k,36624,2025,2061,11984,15480.060221437063,True
k,10558,2028,2056,5417,5202.08,False
k,39624,2028,2060,55672,7921.037359464584,True
k,9091,2027,2042,51124,3360.7,False
k,27850,2024,2061,18753,13391.597620001718,True
k,10943,2024,2060,18369,5884.61,False
k,5177,2041,2058,6682,5533.26,False
m,18805,2028,2059,19817,8153.125477408346,True
m,19984,2024,2055,33195,8880.05127961487,True
m,13406,2024,2057,78166,6782.053682173554,False
m,15376,2025,2063,45460,8986.024316351431,True
m,36385,2032,2053,76529,8995.25787857283,True
k,16555,2027,2062,35355,7299.240527578477,True
k,6007,2027,2057,36062,5365.22,False
m,6035,2025,2059,51793,5706.34,False
k,17129,2028,2060,11564,5884.61,False
m,20678,2028,2061,18547,9806.140409953567,True
k,9925,2031,2060,54857,5884.61,False
k,21494,2027,2052,13204,5994.384780206645,False
k,20019,2026,2056,1397,5202.08,False
k,37631,2027,2063,24897,15964.121331908704,True
m,41971,2028,2056,28814,13485.775858398456,True
k,8816,2024,2055,32104,5043.61,False
m,16499,2024,2056,34576,8002.891628985559,True
k,5509,2025,2054,21784,4889.78,False
k,10726,2024,2063,38517,6451.77,False
k,4528,2026,2048,796,4056.92,False
k,23036,2025,2055,92102,5043.61,False
m,10015,2035,2061,30821,6068.21,False
k,10413,2025,2056,80206,5202.08,False
k,42115,2029,2059,22345,7550.715439642861,True
k,14464,2024,2057,102553,6152.089562885767,False
m,15026,2037,2058,84654,5533.26,False
m,11898,2024,2058,76132,6003.398626672765,False
m,10491,2030,2062,68928,6257.17,False
m,11257,2027,2055,10137,5043.61,False
k,17458,2024,2063,9782,6451.77,False
m,13736,2025,2058,28878,6500.352251100599,False
k,12088,2025,2060,39975,5884.61,False
k,4913,2026,2062,3295,6257.17,False
m,7973,2028,2046,14815,3810.78,False
k,7029,2024,2048,45551,4056.92,False
m,6645,2024,2058,12926,5533.26,False
m,13623,2024,2060,30981,7811.505946874391,True
k,7350,2024,2063,94100,6451.77,False
m,5062,2026,2063,4989,6451.77,False
k,17249,2027,2052,56603,4810.51191373334,False
m,20570,2024,2059,91232,11311.185138329693,True
m,8226,2029,2063,13288,6451.77,False
m,5520,2025,2057,36597,5365.22,False
k,22162,2029,2063,18590,6451.77,False
m,13508,2024,2063,11724,8383.129744631353,True
k,14367,2024,2057,17516,5365.22,False
k,12124,2025,2050,1373,4318.21,False
m,16109,2026,2054,60191,6276.144036264103,False
m,4620,2025,2063,42160,6451.77,False
m,29818,2030,2059,10600,11509.450799398994,True
m,4922,2027,2057,60735,5365.22,False
m,18023,2025,2062,29285,10561.848010919173,True
k,9012,2028,2059,7726,5706.34,False
m,9204,2024,2058,33428,5533.26,False
k,6423,2029,2063,120,6451.77,False
k,8077,2025,2062,19306,6257.17,False
m,18240,2026,2060,25907,9267.416419656063,True
k,10739,2024,2046,18233,3810.78,False
m,15500,2024,2047,26773,4766.094406039751,False
k,5435,2027,2061,12008,6068.21,False
m,15016,2026,2057,18104,6402.466042726808,False
m,25236,2028,2062,101500,12510.41908644353,True
m,22719,2024,2063,10149,14630.012128769877,True
m,4569,2032,2062,92020,6257.17,False
m,15276,2030,2047,21660,3932.04,False
m,23021,2033,2062,20050,8307.592622282617,True
m,7549,2027,2054,9622,4889.78,False
m,8740,2028,2047,59760,3932.04,False
k,9960,2027,2062,7735,6257.17,False
m,11743,2024,2051,22400,4454.84,False
k,17368,2026,2057,5444,6510.029551182513,False
m,15457,2030,2053,41892,4740.46,False
k,6428,2026,2060,28264,5884.61,False
m,6194,2025,2056,8159,5202.08,False
k,14791,2024,2061,15472,6068.21,False
k,5515,2032,2063,59989,6451.77,False
m,21904,2024,2061,14444,13037.825994825364,True
k,6263,2025,2062,56066,6257.17,False
m,13897,2027,2058,15406,5836.205581754234,False
k,12950,2030,2045,5964,3693.12,False
k,7541,2024,2057,34217,5365.22,False
m,5074,2033,2051,27618,4454.84,False
m,16009,2030,2059,27438,5921.706337396655,False
k,8985,2026,2041,2609,3256.3,False
k,14032,2026,2053,6783,4740.46,False
m,15154,2029,2063,5539,7441.81199234833,True
k,24168,2027,2048,44086,4056.92,False
m,19346,2026,2062,21884,10241.539606865294,True
k,10416,2030,2057,99038,5365.22,False
m,7734,2025,2060,17747,5884.61,False
m,8571,2025,2052,15170,4595.52,False
m,23534,2028,2061,21349,10673.759875959942,True
m,14758,2026,2062,1860,7812.70761491358,True
k,8171,2025,2056,1591,5202.08,False
m,10852,2027,2057,40518,5365.22,False
k,18096,2027,2052,55149,4595.52,False
m,8613,2031,2062,13011,6257.17,False
k,7514,2032,2058,12645,5533.26,False
m,8739,2025,2063,8442,6451.77,False
k,6562,2025,2051,14621,4454.84,False
k,7364,2024,2060,103957,5884.61,False
k,4723,2026,2055,4471,5043.61,False
k,7663,2026,2057,4533,5365.22,False
k,14661,2029,2063,73013,6451.77,False
k,12297,2025,2063,47653,6451.77,False
k,30799,2024,2057,40843,6927.4810408789035,True
m,14041,2025,2063,2520,8580.056657038045,True
k,4941,2025,2048,9956,4056.92,False
m,25986,2025,2053,4147,10129.062088545566,True
k,8271,2024,2063,21286,6451.77,False
m,8347,2024,2062,14725,6257.17,False
k,5874,2024,2054,28133,4889.78,False
k,5814,2026,2057,42429,5365.22,False
m,8805,2025,2061,32591,6068.21,False
k,8835,2024,2061,18192,6068.21,False
k,10239,2028,2058,36624,5533.26,False
k,10942,2027,2048,34565,4056.92,False
m,5052,2027,2049,38921,4185.61,False
m,15568,2026,2062,83501,8241.511868069832,True
m,6162,2029,2056,35040,5202.08,False
m,19104,2034,2061,1478,6482.515942063712,False
m,4828,2024,2059,94766,5706.34,False
k,47841,2028,2055,26285,6893.397784444774,True
m,18328,2024,2041,24673,4020.508586544999,False
m,19821,2038,2062,24195,6257.17,False
m,7888,2024,2059,46171,5706.34,False
k,10571,2025,2060,48814,5884.61,False
k,6479,2027,2063,2905,6451.77,False
m,5524,2032,2063,7411,6451.77,False
m,14858,2025,2052,52075,5643.5556133977725,False
k,19022,2025,2058,15310,7915.177346743897,True
m,13327,2029,2052,3426,4595.52,False
k,16613,2025,2061,30531,6068.21,False
k,11614,2025,2062,10273,6257.17,False
k,15749,2026,2063,22954,7664.1352413218265,True
k,8241,2029,2054,10065,4889.78,False
k,14018,2028,2061,17284,6068.21,False
k,8167,2030,2061,15300,6068.21,False
m,14358,2025,2062,69993,8047.090446321719,True
k,5609,2026,2054,7208,4889.78,False
m,14597,2028,2063,17184,7232.429174397303,True
k,12532,2026,2057,41121,5365.22,False
k,6980,2026,2054,16721,4889.78,False
k,4748,2024,2063,30892,6451.77,False
m,12157,2030,2059,18746,5706.34,False
m,7254,2024,2062,13605,6257.17,False
m,10933,2027,2057,110239,5365.22,False
k,13033,2024,2061,14848,6068.21,False
k,18062,2029,2063,1277,7473.039980099386,True
k,6939,2028,2062,16721,6257.17,False
k,6929,2031,2059,21828,5706.34,False
k,14254,2026,2057,22912,5365.22,False
k,18104,2024,2054,24534,6764.836843214631,False
k,4765,2027,2062,107723,6257.17,False
m,10020,2035,2062,51005,6257.17,False
m,12079,2026,2060,16300,6137.122967819391,False
k,15831,2024,2054,17235,5915.4955846736,False
k,7538,2025,2061,37340,6068.21,False
m,28063,2031,2060,85129,10284.158682084826,True
k,29341,2027,2063,1454,13268.987765048038,True
k,9126,2025,2056,12571,5202.08,False
m,7630,2025,2060,17742,5884.61,False
k,5515,2029,2040,44774,3154.78,False
k,6198,2027,2053,26214,4740.46,False
k,7434,2025,2059,99587,5706.34,False
m,15890,2024,2059,77299,8359.484078075573,True
m,7763,2027,2060,20793,5884.61,False
m,7980,2025,2054,47433,4889.78,False
m,10947,2030,2056,128691,5202.08,False
m,6632,2032,2060,19793,5884.61,False
k,5769,2035,2062,26280,6257.17,False
m,9141,2025,2062,25622,6257.17,False
m,5407,2030,2062,16302,6257.17,False
k,10402,2031,2056,43592,5202.08,False
k,5705,2032,2056,1936,5202.08,False
k,9028,2026,2057,19822,5365.22,False
k,6776,2026,2058,24965,5533.26,False
k,19005,2024,2055,5805,5043.61,False
m,6168,2028,2055,56817,5043.61,False
k,7329,2024,2059,18293,5706.34,False
m,12470,2025,2053,7902,4955.059416308655,False
m,11935,2026,2062,17696,6318.245384469005,False
m,8390,2024,2062,23542,6257.17,False
k,6683,2035,2062,27987,6257.17,False
m,11362,2039,2062,15102,6257.17,False
m,8447,2024,2063,40939,6451.77,False
k,4606,2026,2051,14700,4454.84,False
m,33158,2026,2055,1588,12641.592211440586,True
m,35748,2024,2046,18308,8826.305777876412,True
k,11567,2025,2063,75484,6451.77,False
k,10913,2027,2055,9579,5043.61,False
k,10563,2029,2055,8894,5043.61,False
k,4920,2026,2046,5798,3810.78,False
m,5923,2031,2055,1570,5043.61,False
m,21987,2026,2063,12843,12699.777037895155,True
m,6446,2024,2062,44539,6257.17,False
k,7935,2024,2055,28266,5043.61,False
k,19955,2024,2058,6037,8853.251719735852,True
k,5227,2031,2052,22549,4595.52,False
k,15248,2027,2054,78035,4889.78,False
k,35281,2026,2059,20395,13297.929735239175,True
k,29401,2030,2061,6065,6068.21,False
m,4787,2032,2058,101175,5533.26,False
m,16573,2026,2058,15768,7720.264006422649,True
k,25534,2029,2059,60262,8797.921165701706,True
m,15551,2030,2061,1269,6604.353553544641,False
k,20524,2026,2062,14656,9566.880523520942,True
m,14250,2029,2063,14361,6997.876527053162,True
m,7100,2025,2059,7218,5706.34,False
k,11025,2029,2062,28659,6257.17,False
m,16721,2024,2051,19051,6520.360599626941,False
m,7822,2025,2063,64362,6451.77,False
k,12434,2027,2060,964,5884.61,False
k,8386,2024,2050,97323,4318.21,False
m,12745,2024,2046,1539,3810.78,False
k,16818,2028,2057,16435,5594.627208203615,False
k,5385,2024,2060,37811,5884.61,False
m,10079,2030,2051,55663,4454.84,False
k,8327,2027,2061,93417,6068.21,False
m,9491,2024,2063,16895,6451.77,False
m,6459,2026,2059,4603,5706.34,False
m,12667,2031,2054,25191,4889.78,False
k,11645,2026,2059,23669,5706.34,False
k,25144,2024,2063,12037,13445.266272214736,True
k,11053,2028,2060,6241,5884.61,False
k,8936,2024,2051,18359,4454.84,False
k,7005,2030,2060,5189,5884.61,False
m,6240,2024,2062,87379,6257.17,False
m,4968,2025,2058,43727,5533.26,False
m,4752,2034,2063,61751,6451.77,False
m,22379,2034,2063,10886,8391.826841095695,True
m,7105,2024,2044,16166,3578.95,False
k,6101,2024,2048,2361,4056.92,False
k,7210,2026,2062,45137,6257.17,False
m,27072,2024,2062,63750,15529.24942467801,True
k,23384,2026,2060,58658,9995.685500968208,True
k,38341,2032,2057,9044,9795.132251556948,True
m,12381,2030,2061,19302,6068.21,False
m,6835,2030,2058,6984,5533.26,False
k,25837,2027,2045,39516,3693.12,False
k,9156,2026,2055,65029,5043.61,False
k,20210,2026,2044,3340,3916.650805348656,False
k,13847,2024,2062,12238,7261.669886955019,True
m,14649,2031,2062,48398,6257.17,False
k,15177,2024,2057,88221,5365.22,False
m,10254,2027,2049,18923,4185.61,False
m,8306,2031,2049,3363,4185.61,False
m,5306,2025,2060,5622,5884.61,False
m,6130,2034,2059,38151,5706.34,False
m,31876,2029,2056,13833,11144.245369367847,True
k,12200,2032,2061,20875,6068.21,False
k,16513,2025,2057,61304,5365.22,False
m,6595,2024,2062,30631,6257.17,False
m,5444,2026,2057,90556,5365.22,False
m,10457,2024,2055,5537,5043.61,False
m,7193,2027,2053,9520,4740.46,False
m,16945,2025,2055,3583,7361.240260621237,True
k,19935,2029,2061,8321,7530.141570552265,True
m,33792,2025,2059,33615,16006.989341743405,True
m,4677,2033,2054,7476,4889.78,False
m,28888,2028,2063,26850,14842.975094254936,True
k,9226,2027,2061,8236,6068.21,False
m,9967,2029,2056,20628,5202.08,False
m,7143,2027,2061,2203,6068.21,False
m,15945,2025,2063,105160,9318.558644915689,True
k,12158,2024,2061,16520,6115.243531923182,False
m,22604,2026,2058,66521,10070.439462208135,True
k,7786,2026,2059,9710,5706.34,False
k,5600,2027,2059,37203,5706.34,False
k,32620,2025,2062,100492,8564.492079057805,True
m,14352,2025,2057,12276,6803.116487112293,False
m,15658,2024,2060,8435,8978.38656068114,True
k,4968,2024,2056,74796,5202.08,False
k,18627,2028,2060,4448,7109.280271020858,True
k,13121,2029,2059,68978,5706.34,False
k,19832,2025,2056,16490,7565.951965658694,True
m,5845,2025,2051,49012,4454.84,False
m,13994,2027,2059,3217,6424.676588198862,False
k,9021,2029,2059,68246,5706.34,False
k,6094,2031,2059,7978,5706.34,False
m,11586,2026,2062,39815,6257.17,False
k,38979,2025,2056,91810,12820.43037254362,True
k,14648,2025,2060,79659,6640.883757230727,False
m,27311,2033,2048,8267,4636.164859316566,False
m,12459,2024,2063,41390,8084.742995678101,True
k,7039,2024,2043,37917,3468.11,False
m,5818,2024,2058,38129,5533.26,False
k,20612,2030,2062,16037,6257.17,False
k,22512,2025,2062,41496,6339.53160301525,False
k,21582,2024,2058,22849,9544.014839208914,True
k,38506,2024,2062,48267,17316.135674337496,True
k,11867,2026,2061,10054,6068.21,False
m,9742,2025,2059,2569,5706.34,False
m,13683,2026,2063,137692,7903.354218834738,True
m,6425,2027,2054,68668,4889.78,False
k,7122,2025,2062,14304,6257.17,False
m,4516,2026,2063,10304,6451.77,False
k,17518,2026,2062,52027,8165.6895834652005,True
k,21621,2024,2054,61884,8050.199214356815,True
k,9612,2029,2060,368,5884.61,False
m,10275,2024,2052,1214,4595.52,False
k,9285,2024,2062,12493,6257.17,False
k,23622,2036,2060,62436,5884.61,False
k,10768,2028,2060,5421,5884.61,False
k,15478,2029,2056,39881,5202.08,False
k,16500,2024,2052,28856,5646.373306130928,False
m,12924,2027,2060,35930,6201.1395978944165,False
k,10720,2031,2048,49277,4056.92,False
k,14284,2027,2063,17282,6451.77,False
k,22401,2026,2062,12653,6257.17,False
m,24673,2026,2052,11489,8348.310256562503,True
k,7243,2024,2062,29513,6257.17,False
k,19924,2024,2052,60923,6818.081318263793,False
k,5503,2025,2058,676,5533.26,False
m,5300,2027,2063,35852,6451.77,False
m,32626,2024,2055,34479,13107.349059690136,True
m,11142,2026,2045,29924,3693.12,False
k,22172,2027,2054,9450,6806.196966189743,False
m,13477,2026,2043,7621,3468.11,False
m,14835,2027,2059,36077,6513.719528342771,False
m,12934,2025,2058,47125,6120.817997651071,False
k,5452,2025,2056,37297,5202.08,False
m,4698,2024,2062,40652,6257.17,False
m,15501,2028,2062,46426,7349.252329774395,True
m,19655,2027,2053,143355,6852.405734391188,False
k,12770,2025,2048,21385,4056.92,False
k,23408,2024,2047,29719,3932.04,False
k,16006,2024,2048,35061,4535.707560719654,False
k,11843,2024,2057,42410,5365.22,False
k,8411,2029,2061,74444,6068.21,False
m,18807,2032,2053,39578,4740.46,False
m,16346,2029,2061,5430,7015.842933461946,True
k,15993,2026,2056,21667,5732.482599421673,False
m,9527,2024,2058,7336,5533.26,False
m,12600,2030,2060,20370,5884.61,False
m,7861,2026,2063,16418,6451.77,False
k,13918,2026,2061,52637,6212.9587108084,False
m,24527,2024,2063,40221,15635.882224255647,True
k,18408,2031,2061,59288,6225.710721148527,False
m,7352,2027,2058,25420,5533.26,False
m,7207,2031,2058,14067,5533.26,False
m,9255,2026,2062,1643,6257.17,False
m,4626,2024,2059,65115,5706.34,False
k,5435,2025,2062,13151,6257.17,False
k,6798,2026,2054,5980,4889.78,False
k,12612,2025,2063,13435,6451.77,False
m,24451,2024,2053,3030,9765.125570410242,True
m,4940,2025,2060,57872,5884.61,False
m,10312,2027,2046,128400,3810.78,False
k,14829,2038,2060,117808,5884.61,False
k,18422,2030,2053,32309,4740.46,False
m,6686,2024,2063,5014,6451.77,False
m,7326,2033,2061,98806,6068.21,False
k,13506,2026,2063,10730,6572.595756511054,False
k,7027,2030,2056,11096,5202.08,False
m,7884,2037,2063,18330,6451.77,False
k,31920,2024,2049,7492,8561.088475459539,True
k,41684,2027,2058,28137,13525.096911095998,True
m,16537,2030,2061,10417,7023.097853190641,True
m,9779,2025,2061,101498,6068.21,False
k,11957,2026,2063,47749,6451.77,False
k,5792,2034,2055,37441,5043.61,False
m,24980,2025,2043,23560,5576.502349399973,False
m,8806,2024,2061,21352,6068.21,False
m,8494,2025,2049,7957,4185.61,False
k,26475,2031,2054,68360,6303.994264360485,False
k,7328,2028,2053,43916,4740.46,False
m,13019,2027,2057,96796,5365.22,False
k,18335,2026,2050,36586,4955.647804786014,False
k,5444,2027,2060,108723,5884.61,False
m,8802,2028,2063,41892,6451.77,False
m,9220,2030,2063,16685,6451.77,False
m,18943,2024,2061,52992,10826.344415967136,True
k,14546,2024,2061,5852,7316.362264793105,True
m,9732,2024,2063,93978,6451.77,False
m,12120,2026,2062,11770,6416.182158338024,False
m,8882,2027,2063,10596,6451.77,False
m,8258,2025,2063,30200,6451.77,False
k,17898,2025,2063,59524,9214.604015742629,True
m,18485,2028,2062,44688,8764.010664852567,True
m,5870,2027,2044,63526,3578.95,False
k,34456,2027,2056,4274,10919.998112857747,True
m,7950,2027,2060,15293,5884.61,False
k,27550,2026,2045,45634,5533.8235993374565,False
m,8903,2025,2058,3669,5533.26,False
m,5385,2033,2054,27052,4889.78,False
k,25922,2024,2062,83599,13218.400566376115,True
k,11208,2029,2058,68664,5533.26,False
k,9105,2024,2062,13495,6257.17,False
m,9272,2024,2037,37028,2866.93,False
k,11578,2024,2060,52108,5884.61,False
k,18568,2027,2055,7775,5043.61,False
m,13812,2029,2062,3989,6485.213956259205,False
m,11570,2025,2059,66366,5713.957317589902,False
k,4867,2031,2062,10764,6257.17,False
k,17923,2034,2058,37005,5533.26,False
m,6013,2029,2058,76506,5533.26,False
k,6428,2028,2046,59433,3810.78,False
k,11404,2025,2042,25627,3360.7,False
k,13553,2024,2059,30725,5706.34,False
k,13431,2026,2063,48990,6536.097557063524,False
k,13770,2028,2062,28276,6257.17,False
m,17874,2028,2051,31708,5285.925511919255,False
m,6893,2031,2050,21969,4318.21,False
m,4874,2025,2061,77481,6068.21,False
m,11599,2024,2062,12605,6908.234631077219,True
k,11620,2024,2055,43580,5043.61,False
k,16627,2033,2055,11502,5043.61,False
m,5023,2029,2062,24764,6257.17,False
k,14172,2030,2061,9947,6068.21,False
m,23304,2025,2058,29573,10989.236145839215,True
m,4855,2037,2055,21064,5043.61,False
m,6211,2025,2056,68257,5202.08,False
k,15353,2030,2058,59824,5533.26,False
k,15811,2028,2058,58732,5533.26,False
m,4558,2032,2063,27507,6451.77,False
m,5340,2025,2063,84477,6451.77,False
k,22306,2028,2062,7631,6257.17,False
k,15967,2034,2052,7057,4595.52,False
m,14775,2024,2056,3140,6854.075843613399,False
m,29207,2030,2060,13088,11830.300822470428,True
m,14672,2025,2058,34993,7259.9532623022105,True
m,14574,2031,2054,69147,4889.78,False
m,5770,2027,2050,11903,4318.21,False
k,5139,2024,2062,51757,6257.17,False
m,4568,2025,2055,3549,5043.61,False
m,23679,2025,2055,41590,10229.752517727491,True
m,19711,2026,2057,20767,8787.585816828541,True
k,17021,2025,2062,2962,6257.17,False
m,10103,2029,2059,10271,5706.34,False
m,13565,2026,2056,10247,5534.048420269848,False
m,15877,2024,2052,34977,6474.280703583187,False
m,15844,2024,2061,3745,9468.16484780324,True
m,7238,2030,2057,19702,5365.22,False
m,8968,2026,2060,13055,5884.61,False
k,13094,2024,2063,17568,7158.720826066203,True
k,9982,2024,2062,90973,6257.17,False
k,6725,2024,2058,44939,5533.26,False
m,6771,2024,2053,1934,4740.46,False
k,8277,2026,2062,6029,6257.17,False
m,33921,2026,2058,96787,14720.205249701961,True
k,9509,2027,2059,17100,5706.34,False
m,7196,2024,2053,3740,4740.46,False
k,8567,2024,2045,14797,3693.12,False
k,7072,2033,2063,73091,6451.77,False
m,8319,2026,2062,23191,6257.17,False
k,27629,2025,2058,22086,11158.118159526879,True
k,8832,2024,2056,4637,5202.08,False
k,9061,2031,2063,9210,6451.77,False
m,22429,2029,2060,53587,9617.857007701878,True
m,18861,2027,2058,93670,8282.131778034134,True
k,12151,2024,2060,2275,5884.61,False
m,28805,2026,2050,42607,9000.007496106768,True
k,9348,2026,2059,18291,5706.34,False
k,12523,2024,2059,55356,5706.34,False
k,7056,2040,2060,20316,5884.61,False
k,9361,2026,2055,14420,5043.61,False
k,5186,2025,2061,136741,6068.21,False
k,10189,2029,2056,3673,5202.08,False
k,12133,2025,2056,132073,5202.08,False
m,16032,2024,2062,21688,9983.943908994703,True
k,9029,2024,2056,32463,5202.08,False
m,13983,2028,2054,6177,4889.78,False
m,14096,2026,2059,24661,6559.655399693913,False
k,7079,2024,2057,83113,5365.22,False
k,7750,2029,2053,40919,4740.46,False
k,8369,2028,2061,93475,6068.21,False
m,8048,2026,2061,85218,6068.21,False
m,9311,2024,2062,12371,6257.17,False
k,14997,2025,2049,23653,4185.61,False
m,10058,2028,2061,2981,6068.21,False
m,6830,2034,2062,119040,6257.17,False
k,6784,2030,2061,12775,6068.21,False
k,13108,2028,2053,4171,4740.46,False
m,7978,2027,2055,86869,5043.61,False
m,6666,2027,2062,23071,6257.17,False
m,16074,2024,2057,20284,8131.786579685046,True
k,20523,2026,2053,1851,6410.801422526127,False
k,5194,2026,2062,20810,6257.17,False
m,13436,2026,2054,25906,5234.7303539167215,False
k,39069,2025,2058,66778,8041.402146909101,True
m,10992,2026,2051,63287,4454.84,False
m,10062,2025,2062,20588,6257.17,False
k,13507,2025,2059,29297,5868.285994718226,False
m,18409,2024,2059,25904,9684.691151245637,True
k,33808,2025,2040,41142,4747.411722629894,False
m,10478,2024,2058,23670,5533.26,False
m,14967,2024,2061,40094,8553.972278613739,True
m,9935,2025,2063,44550,6451.77,False
k,7438,2024,2062,41631,6257.17,False
k,8159,2024,2063,84034,6451.77,False
k,28410,2027,2055,25608,9006.827599839515,True
m,6135,2026,2057,7604,5365.22,False
k,16269,2027,2054,104538,4889.78,False
m,5261,2024,2063,96720,6451.77,False
k,9124,2025,2051,63123,4454.84,False
m,5327,2028,2057,137302,5365.22,False
m,7198,2027,2062,25579,6257.17,False
k,6936,2024,2061,114858,6068.21,False
m,5912,2029,2058,20582,5533.26,False
k,8497,2029,2056,30972,5202.08,False
m,10859,2025,2061,5952,6068.21,False
m,23803,2028,2060,58865,10795.636458101439,True
m,9805,2026,2054,89066,4889.78,False
k,5637,2026,2056,56989,5202.08,False
m,15999,2030,2061,569,6794.614655209357,False
m,10836,2028,2062,59212,6257.17,False
m,40285,2025,2041,32347,6253.359159766752,False
k,5600,2026,2051,82531,4454.84,False
m,7163,2027,2059,7384,5706.34,False
k,7222,2027,2048,11666,4056.92,False
m,17300,2026,2037,55004,2866.93,False
m,9873,2025,2063,56860,6451.77,False
k,11088,2032,2059,4595,5706.34,False
m,6846,2033,2061,18372,6068.21,False
k,16649,2024,2059,15806,7705.351757019825,True
k,17696,2026,2060,44774,5884.61,False
k,6763,2029,2049,83603,4185.61,False
k,5190,2036,2059,9466,5706.34,False
k,5930,2026,2059,57145,5706.34,False
m,25262,2028,2058,29745,10008.996228270536,True
m,12293,2028,2057,68061,5365.22,False
k,13811,2025,2057,17611,5365.22,False
k,4971,2032,2061,18917,6068.21,False
k,9514,2027,2043,10695,3468.11,False
k,16863,2026,2061,29820,7527.598989823393,True
m,6580,2025,2060,83753,5884.61,False
m,14958,2030,2060,8937,6064.008985802582,False
m,27371,2024,2044,81999,7095.842669809716,True
m,10123,2024,2062,1377,6257.17,False
m,6487,2029,2058,44820,5533.26,False
k,17109,2024,2063,39101,6451.77,False
k,42653,2028,2063,12306,9535.608177020285,True
k,17471,2025,2062,4292,6257.17,False
k,9251,2026,2054,35302,4889.78,False
m,8642,2029,2057,5115,5365.22,False
k,8104,2029,2061,25553,6068.21,False
k,6757,2025,2061,59118,6068.21,False
m,9438,2024,2062,48443,6257.17,False
k,11041,2024,2054,45585,4889.78,False
k,11953,2024,2063,85694,6451.77,False
k,10118,2029,2051,41048,4454.84,False
k,9131,2025,2062,83221,6257.17,False
m,8601,2024,2062,15817,6257.17,False
m,27744,2029,2059,20797,10856.990019248628,True
k,19919,2026,2062,15992,6257.17,False
k,7354,2027,2062,49383,6257.17,False
k,10059,2026,2061,73529,6068.21,False
k,5120,2026,2054,33910,4889.78,False
m,16001,2024,2058,56618,8441.861823231427,True
m,16244,2030,2059,13838,6282.659744727539,False
m,20774,2024,2050,43504,7727.96335571354,True
m,6776,2026,2057,35432,5365.22,False
k,19121,2029,2063,35481,7911.1946329022485,True
k,9351,2027,2062,69589,6257.17,False
m,14430,2033,2062,6959,6257.17,False
k,20350,2031,2063,49829,6451.77,False
k,4500,2024,2046,5959,3810.78,False
k,12539,2028,2058,23065,5533.26,False
k,8395,2027,2061,14019,6068.21,False
k,4661,2028,2053,26326,4740.46,False
k,4513,2024,2063,17744,6451.77,False
k,30667,2024,2058,16653,12622.49817982929,True
k,33486,2031,2057,27338,9235.821198600004,True
m,20716,2024,2056,21682,9602.319923412559,True
m,9165,2026,2059,57373,5706.34,False
k,13026,2028,2058,4024,5533.26,False
k,19657,2024,2042,16518,4019.51981133803,False
k,8330,2026,2061,43431,6068.21,False
m,5093,2026,2057,9003,5365.22,False
m,13300,2030,2048,5754,4056.92,False
m,25515,2027,2062,24065,12752.793208369965,True
k,7228,2028,2059,7155,5706.34,False
m,9902,2026,2058,21474,5533.26,False
k,16843,2025,2057,45136,6712.544200900586,False
m,10640,2024,2062,36136,6626.070558364749,False
m,23073,2027,2051,40251,6981.552349079232,True
k,6566,2026,2050,86782,4318.21,False
k,10162,2030,2058,4141,5533.26,False
m,13083,2036,2062,14594,6257.17,False
k,11579,2025,2058,9806,5533.26,False
m,4911,2024,2054,16407,4889.78,False
m,5391,2027,2045,35952,3693.12,False
m,8721,2032,2056,132790,5202.08,False
k,32292,2025,2056,21057,11431.318035656752,True
m,11683,2027,2059,71551,5706.34,False
k,12554,2025,2042,9747,3360.7,False
k,16886,2027,2062,132,6257.17,False
k,7704,2024,2047,18101,3932.04,False
m,21063,2029,2059,99115,8625.824117793125,True
k,27426,2024,2046,2938,6645.944360472728,False
k,21688,2024,2062,44971,6478.006724446833,False
m,5397,2024,2063,26321,6451.77,False
k,13112,2024,2060,28573,5884.61,False
m,7803,2034,2046,20569,3810.78,False
k,18325,2027,2062,48382,6257.17,False
m,10168,2026,2062,51717,6257.17,False
m,13293,2031,2059,24115,5706.34,False
m,11117,2026,2058,33127,5533.26,False
k,14326,2025,2050,16143,4318.21,False
k,8812,2024,2047,49039,3932.04,False
k,6139,2027,2056,63667,5202.08,False
k,5332,2036,2053,18039,4740.46,False
m,17442,2024,2056,38617,8091.28872178037,True
m,10554,2025,2039,67212,3056.07,False
m,8778,2027,2037,77915,2866.93,False
m,29081,2027,2055,4693,10928.139569397788,True
m,10502,2035,2058,2906,5533.26,False
m,5481,2039,2058,27684,5533.26,False
m,15038,2025,2062,20598,8812.576729079641,True
m,11867,2025,2041,14730,3256.3,False
m,20714,2028,2058,44596,8207.044092803255,True
k,24470,2025,2052,20895,7724.20850103942,True
k,6371,2024,2061,36805,6068.21,False
k,6700,2025,2060,27240,5884.61,False
k,30987,2024,2055,8257,11140.199937585843,True
m,7858,2027,2048,93675,4056.92,False
m,16728,2035,2062,45836,6257.17,False
