plec,wynagrodzenie_brutto,rok_rozpoczecia,rok_zakonczenia,suma_wplaconych_skladek,emerytura_nominalna
m,6126,2029,2058,47103,5533.26
m,11400,2024,2038,31825,2960.16
k,15678,2029,2051,15301,4454.84
k,6638,2029,2062,22618,6257.17
k,9653,2024,2060,1167,5884.61
k,4884,2029,2049,17977,4185.61
m,7135,2024,2061,23252,6068.21
k,18356,2027,2060,35663,7411.716078991819
m,17437,2025,2054,42823,7247.304162260747
m,24556,2024,2056,12948,11678.980748826985
k,7521,2026,2052,28702,4595.52
m,12048,2025,2056,24810,5470.037084868157
k,10265,2024,2063,50217,6451.77
k,14018,2025,2053,6675,4740.46
m,13027,2029,2056,51127,5202.08
k,18739,2026,2063,55697,9119.196792629991
m,10095,2025,2049,45298,4185.61
k,6883,2024,2063,35880,6451.77
k,4520,2027,2060,20439,5884.61
k,13839,2024,2062,17760,7257.474511848814
k,7985,2024,2044,110,3578.95
k,8527,2025,2057,27068,5365.22
k,7536,2025,2052,4187,4595.52
k,6393,2026,2059,38904,5706.34
k,4718,2032,2059,18910,5706.34
k,5944,2029,2063,89664,6451.77
m,13223,2029,2056,49,5202.08
m,15658,2029,2048,16129,4056.92
m,14656,2026,2057,39291,6533.958588171026
m,16459,2027,2062,40487,8617.5845553642
k,9110,2032,2058,22907,5533.26
k,10845,2024,2060,20013,5884.61
m,16752,2026,2061,13190,8884.595474979045
m,29902,2035,2062,64608,10082.80819771297
m,5608,2025,2061,94301,6068.21
m,12085,2024,2058,47928,6375.845268030241
k,4964,2024,2061,41523,6068.21
m,5277,2026,2061,21373,6068.21
m,10540,2025,2049,84773,4185.61
m,19296,2029,2057,43146,7195.888558947874
k,12358,2025,2062,10215,6257.17
m,5078,2030,2063,19879,6451.77
m,6025,2027,2061,10201,6068.21
m,10130,2028,2063,29282,6451.77
m,6132,2024,2058,45846,5533.26
k,8330,2025,2041,15127,3256.3
m,17115,2024,2063,81557,11106.057979856383
k,14199,2027,2047,4771,3932.04
k,10192,2024,2063,71153,6451.77
k,16336,2025,2048,36113,4284.167278910058
m,8173,2024,2050,70964,4318.21
k,19757,2028,2063,12260,8623.618491655712
m,5371,2027,2053,26804,4740.46
m,5277,2024,2046,42106,3810.78
m,13588,2024,2056,6022,6590.901961007078
k,9757,2025,2057,73691,5365.22
k,24536,2024,2058,38608,10681.169037145251
m,5230,2025,2063,1932,6451.77
m,5744,2024,2063,108191,6451.77
m,6137,2025,2056,55903,5202.08
k,9172,2024,2059,1743,5706.34
m,16202,2025,2063,59002,9900.582434109427
m,5452,2028,2060,44807,5884.61
m,27829,2024,2062,25603,16580.191659901448
k,18398,2024,2057,24206,7825.3694536761805
m,16947,2027,2060,54545,8131.438623144281
m,8734,2026,2059,54439,5706.34
k,15609,2024,2043,15450,3468.11
k,4633,2027,2062,57697,6257.17
m,11946,2024,2062,10577,7439.383354344482
k,10165,2024,2063,27450,6451.77
k,16362,2025,2057,21094,6520.848317706783
k,31643,2033,2054,4219,6601.42986105073
k,22840,2024,2060,28465,10927.680502846551
k,8493,2025,2063,4379,6451.77
k,22266,2027,2055,53917,7165.648932666883
k,10537,2034,2059,24764,5706.34
m,11837,2024,2037,41968,2866.93
m,32327,2024,2057,25342,14883.537801688535
m,23035,2026,2052,20187,8180.052783605703
m,6868,2024,2060,126188,5884.61
k,7025,2024,2059,5018,5706.34
m,16546,2025,2048,28293,5178.329427303074
m,29383,2026,2054,51087,11070.093068489297
m,8266,2028,2063,3798,6451.77
m,13989,2028,2046,2945,3810.78
m,10742,2024,2063,13138,6970.56820447662
m,21911,2026,2053,47147,8151.026194971965
k,8653,2025,2054,29706,4889.78
m,6437,2024,2062,7002,6257.17
m,13608,2025,2056,11010,6178.3088189646305
m,13713,2024,2060,24575,7863.112460507123
k,13177,2025,2061,145011,6232.138578442992
m,5028,2028,2057,571,5365.22
k,7746,2026,2059,44642,5706.34
m,4942,2025,2055,24576,5043.61
k,8535,2024,2063,15213,6451.77
m,18924,2026,2050,10066,6100.364006504918
m,27660,2033,2057,32337,8101.460913005895
m,7677,2027,2059,21000,5706.34
k,20232,2032,2056,39330,5202.08
k,13667,2026,2054,39846,4889.78
k,24725,2034,2063,27199,7811.459666078869
k,10161,2032,2060,25896,5884.61
m,17847,2030,2063,15447,8308.226951036619
k,39813,2024,2052,12897,11174.36684530284
k,17768,2025,2057,33495,7081.190130119436
m,12201,2030,2060,26583,5884.61
m,5506,2026,2057,52945,5365.22
m,8423,2031,2059,7851,5706.34
k,16934,2025,2056,40455,6460.358541068194
k,13787,2025,2054,64062,4889.78
m,18791,2036,2058,60673,5533.26
k,6184,2026,2055,83726,5043.61
k,4948,2027,2060,13717,5884.61
k,37781,2030,2052,21267,8204.325606442473
k,6066,2028,2058,89294,5533.26
k,7194,2027,2050,85035,4318.21
k,9636,2025,2063,32230,6451.77
m,13376,2031,2063,13020,6451.77
m,8227,2038,2059,20155,5706.34
m,34865,2028,2063,14443,17273.62942923524
k,9436,2027,2058,3353,5533.26
m,19292,2027,2056,3531,7741.200628458191
k,20516,2026,2058,27891,8036.80957486825
m,5927,2025,2043,7081,3468.11
k,20617,2032,2054,27652,4889.78
k,7748,2028,2060,77492,5884.61
m,5289,2028,2063,55518,6451.77
m,11138,2026,2052,107928,4595.52
m,11724,2024,2063,2848,7607.795720469544
k,10742,2024,2057,14399,5365.22
m,23533,2034,2063,5395,8824.561466173871
m,20698,2025,2048,54288,6477.7627515
k,6282,2028,2060,23312,5884.61
k,22089,2024,2054,9471,8209.758683105052
k,16273,2024,2062,15764,8533.917387912114
k,4699,2025,2052,97722,4595.52
k,5911,2028,2062,19224,6257.17
m,18905,2027,2062,83775,9898.258461580901
k,14273,2024,2061,24457,7179.048439804212
k,7190,2026,2046,51210,3810.78
m,19846,2027,2051,53293,6278.975910870821
m,31285,2024,2062,15905,18033.643642182677
k,33293,2025,2059,11321,13337.75754611531
k,33505,2035,2061,53844,9031.387456554376
k,19036,2028,2062,7050,7946.820756631341
m,7918,2026,2063,40965,6451.77
m,4947,2028,2057,13590,5365.22
k,32269,2027,2052,39469,8590.334228834756
m,6895,2024,2048,10202,4056.92
m,12134,2027,2057,8382,5365.22
k,25882,2026,2063,66601,12497.35298329426
m,8319,2028,2060,36697,5884.61
k,12863,2030,2062,71642,6257.17
k,7664,2024,2060,77060,5884.61
m,8603,2025,2055,41903,5043.61
k,36367,2024,2056,56092,12853.589063164942
m,17760,2024,2048,45167,6005.942288652585
m,17229,2030,2053,12573,4946.574799551087
m,4766,2032,2057,20254,5365.22
m,13894,2026,2061,40415,7368.825783748738
k,11266,2030,2058,36251,5533.26
k,9806,2032,2063,35408,6451.77
k,23436,2024,2058,55397,10274.978246498016
k,6766,2033,2063,4471,6451.77
k,4964,2028,2058,8441,5533.26
k,13677,2025,2058,26614,5691.088243687114
m,13831,2025,2059,7341,7142.086593972026
m,6938,2025,2054,12527,4889.78
m,11081,2024,2057,27813,5605.843417288166
m,11507,2029,2063,81417,6451.77
m,9871,2026,2062,30301,6257.17
k,6353,2024,2055,20591,5043.61
m,9279,2028,2061,31396,6068.21
m,6400,2029,2061,98938,6068.21
m,21390,2024,2056,45415,10346.24911732744
k,6389,2028,2047,7289,3932.04
k,5049,2029,2059,18124,5706.34
k,7293,2024,2057,53405,5365.22
k,4787,2025,2058,27568,5533.26
k,8699,2035,2063,19005,6451.77
m,5942,2028,2057,8495,5365.22
m,13559,2024,2058,25170,7153.503184875636
k,20649,2028,2060,12514,7881.007586638189
m,10709,2028,2063,7935,6451.77
k,13995,2029,2061,21024,6068.21
m,11931,2036,2063,21203,6451.77
k,13407,2025,2060,1040,6078.258365182443
m,7863,2028,2055,46268,5043.61
m,10609,2026,2054,11272,4889.78
m,10463,2026,2050,2749,4318.21
m,14774,2029,2055,36687,5043.61
k,12431,2028,2059,36817,5706.34
k,7573,2029,2060,43227,5884.61
m,22288,2024,2060,5817,12705.13277101289
m,10270,2029,2061,18616,6068.21
k,20814,2028,2058,20211,7251.138633159721
k,12149,2027,2055,16803,5043.61
k,10622,2025,2059,23632,5706.34
m,13247,2026,2058,35954,6170.9006995161235
k,25645,2027,2063,65614,11788.711413830226
m,8304,2029,2062,52981,6257.17
k,12299,2024,2063,66438,6724.0802993575835
k,4884,2028,2060,36850,5884.61
m,10127,2025,2061,62385,6068.21
k,22125,2026,2055,17011,7578.072562644114
k,8842,2024,2047,11249,3932.04
m,4785,2026,2053,119514,4740.46
m,16068,2030,2059,11910,6214.588572905815
k,6210,2032,2050,24071,4318.21
k,6034,2029,2063,25600,6451.77
k,15877,2026,2054,3125,5193.608249283266
m,16143,2037,2060,10252,5884.61
m,6740,2024,2048,11469,4056.92
m,5409,2030,2060,29925,5884.61
k,9958,2024,2062,19056,6257.17
k,19043,2026,2062,48332,8876.539943939255
k,19010,2025,2058,61316,7910.184069056961
k,11174,2028,2060,19072,5884.61
k,14915,2033,2058,38511,5533.26
m,9437,2024,2063,59130,6451.77
m,8577,2046,2055,45341,5043.61
m,5958,2028,2058,34031,5533.26
m,48441,2025,2054,4339,15384.818648890216
k,14440,2024,2062,35902,7572.65206670257
m,16758,2026,2054,16133,6528.9975640768425
m,6236,2027,2060,28028,5884.61
m,46980,2025,2059,5819,19291.352651542424
k,5338,2025,2061,93825,6068.21
k,27134,2027,2062,42183,11878.641995101605
k,14734,2024,2061,9934,7410.922701049199
k,23587,2025,2061,74952,11103.771244764537
k,32319,2025,2063,41408,15548.464929251342
m,23681,2024,2046,31817,7111.497238510597
m,6889,2031,2058,20975,5533.26
k,23649,2024,2058,61373,10353.631554141528
k,5518,2035,2050,24187,4318.21
m,19528,2027,2055,35960,7480.656785164891
m,27803,2028,2049,47486,7341.090158296493
m,42101,2026,2058,12101,16799.16489209678
k,4794,2024,2063,2827,6451.77
m,11257,2027,2056,27901,5202.08
m,10566,2026,2062,81891,6257.17
k,5575,2029,2060,9944,5884.61
k,7491,2028,2047,35288,3932.04
k,7264,2026,2060,34613,5884.61
m,8947,2027,2063,85893,6451.77
m,10541,2024,2054,40467,4889.78
k,9504,2024,2057,20875,5365.22
k,9915,2035,2048,576,4056.92
m,21217,2024,2056,108868,10267.703598097509
k,11973,2029,2063,4734,6451.77
k,19356,2031,2050,35362,4318.21
m,28189,2025,2060,26302,14686.133411184643
k,14685,2031,2061,27314,6068.21
k,5299,2027,2051,38674,4454.84
m,9773,2034,2049,47990,4185.61
m,19439,2029,2053,64309,5957.355410409938
m,10291,2029,2048,52299,4056.92
k,9517,2024,2050,4505,4318.21
k,21683,2026,2060,9491,9270.846285519496
m,9022,2024,2044,53591,3578.95
k,15647,2029,2061,29247,6068.21
k,16468,2035,2059,50626,5706.34
k,18958,2026,2062,31468,8836.918776306275
k,34191,2025,2057,43260,12412.113639356665
k,7431,2024,2063,65527,6451.77
k,18833,2026,2052,3567,5612.417359207652
m,17427,2027,2060,45067,8361.750214523832
m,6563,2026,2063,44928,6451.77
m,13700,2026,2051,28313,4638.863498725921
k,9703,2026,2062,38843,6257.17
m,10996,2028,2061,51471,6068.21
k,11774,2024,2057,20095,5365.22
k,5635,2024,2063,54604,6451.77
m,5147,2024,2055,54281,5043.61
m,5335,2028,2044,18578,3578.95
m,6431,2024,2061,31094,6068.21
k,19707,2025,2062,95858,9725.226596480365
k,14746,2025,2063,73874,7591.828741543236
k,15316,2028,2063,10667,6685.192125231512
k,22097,2024,2046,28735,5616.7375987835885
m,12553,2024,2057,19811,6350.523636604853
m,9235,2028,2056,17670,5202.08
k,12298,2027,2062,30628,6257.17
k,5998,2024,2049,26946,4185.61
m,4837,2028,2059,67566,5706.34
k,14203,2024,2043,82577,3468.11
m,9588,2027,2060,1979,5884.61
k,6044,2027,2062,7766,6257.17
k,18517,2025,2060,32586,8394.951155969518
k,5074,2026,2062,24334,6257.17
m,16082,2027,2061,47160,8061.435544861298
k,13439,2025,2063,43913,6918.933029811442
k,11181,2029,2055,11811,5043.61
m,14203,2024,2057,1927,7185.253502007383
m,8836,2024,2058,28079,5533.26
m,4590,2033,2058,67501,5533.26
k,9728,2029,2063,1544,6451.77
m,23333,2026,2060,10047,11853.614061719754
k,18861,2024,2062,56333,9891.12123476989
m,18734,2024,2060,41875,10742.182515506483
k,9952,2029,2061,31533,6068.21
m,22569,2032,2051,23312,5050.747139505314
m,13331,2028,2062,11225,6608.670028585298
m,16603,2031,2061,17980,6671.419631138344
m,10604,2027,2062,45095,6257.17
m,5814,2024,2062,7907,6257.17
k,18141,2024,2053,32535,6489.510891484111
m,10418,2025,2051,13559,4454.84
m,9581,2026,2062,76325,6257.17
m,5486,2028,2048,46800,4056.92
k,18182,2024,2055,29686,7096.986224131684
m,13590,2025,2035,13184,2688.3
k,12521,2028,2060,68682,5884.61
m,14914,2027,2056,23590,5984.463309808491
k,8369,2028,2050,29292,4318.21
m,7842,2025,2063,12976,6451.77
m,4572,2026,2058,24397,5533.26
m,9598,2028,2059,20938,5706.34
k,5360,2024,2054,92523,4889.78
m,12324,2034,2047,22537,3932.04
k,19298,2030,2045,3436,3693.12
k,9132,2025,2056,6216,5202.08
m,7060,2029,2051,3608,4454.84
m,14792,2025,2058,2547,7319.331287893563
m,14981,2024,2062,13190,9329.432616058486
k,27220,2026,2058,7477,10495.309079458395
m,14980,2027,2060,26713,7187.640914303496
k,18886,2037,2055,54890,5043.61
k,7329,2033,2062,70089,6257.17
k,7804,2027,2062,16079,6257.17
k,14979,2024,2063,4388,8189.283584362731
m,5996,2026,2061,19754,6068.21
k,8839,2031,2059,24885,5706.34
k,4523,2029,2062,29871,6257.17
k,14053,2027,2063,83356,6473.481545139777
k,19382,2027,2052,62915,5405.376654413569
k,9234,2028,2053,48678,4740.46
m,43824,2030,2060,637,16241.034923591871
m,7720,2026,2059,68299,5706.34
k,16277,2028,2063,779,7104.653448837376
m,20947,2032,2059,20257,7218.10372719398
m,7961,2029,2056,14322,5202.08
k,17001,2024,2056,25980,6929.238901531068
k,9020,2026,2055,7491,5043.61
m,16182,2025,2056,17362,7346.957180223815
k,6447,2030,2059,42833,5706.34
m,17697,2025,2059,37070,9138.421405069985
m,22295,2028,2062,49952,11052.456551444697
m,15530,2028,2062,66263,7698.795705043111
k,4524,2029,2049,2767,4185.61
m,10453,2024,2058,35364,5533.26
k,7116,2029,2063,8663,6451.77
k,17583,2027,2060,3622,7099.59706999963
k,6227,2033,2059,2116,5706.34
k,16236,2028,2057,4191,5401.0207725290675
k,14505,2024,2061,54700,7295.740041992573
k,8928,2030,2060,2295,5884.61
k,8253,2026,2047,49222,3932.04
k,13297,2032,2060,31970,5884.61
k,48254,2030,2055,80113,11175.16142148241
k,23410,2024,2057,93195,9839.737892899373
m,8137,2030,2063,62644,6451.77
m,5971,2024,2057,33629,5365.22
k,4690,2028,2063,74667,6451.77
m,17674,2025,2057,5389,8377.806632749629
k,23105,2030,2062,48951,8652.993322348691
m,13112,2026,2063,120740,7573.542389633937
k,21499,2029,2055,10102,6116.156390887681
m,14729,2029,2048,23201,4056.92
k,21812,2027,2057,18102,7699.050526237383
m,10870,2028,2059,7328,5706.34
m,9923,2031,2057,38617,5365.22
m,12445,2026,2054,9153,4889.78
k,14489,2024,2059,1341,6705.678515674226
k,22603,2026,2047,4277,5211.814599161844
m,8817,2027,2063,36362,6451.77
k,8333,2025,2060,38344,5884.61
m,17136,2025,2049,25415,5640.544593581126
k,14262,2025,2057,60178,5683.922424345078
m,24057,2024,2061,2636,14157.537348648782
m,16989,2029,2058,15992,6641.037639692876
k,14006,2026,2062,13240,6528.636163147257
k,23608,2026,2063,51935,11480.16473450758
m,5628,2030,2057,24264,5365.22
m,7488,2027,2063,5087,6451.77
m,13582,2025,2056,47094,6166.50429006302
k,4828,2025,2061,856,6068.21
m,17098,2032,2063,31538,7149.735128210883
k,12557,2024,2049,2754,4185.61
m,7035,2026,2047,34561,3932.04
k,9559,2025,2055,68179,5043.61
m,10294,2033,2057,2747,5365.22
m,13342,2029,2060,3754,5884.61
m,17034,2027,2061,46663,8538.645259990513
m,7961,2025,2045,32266,3693.12
k,10601,2032,2053,39940,4740.46
m,5955,2028,2062,1129,6257.17
k,4899,2026,2063,11711,6451.77
m,18881,2026,2057,44639,8417.554046346699
m,20722,2024,2057,89447,10474.66152667226
k,14947,2034,2058,14702,5533.26
k,9114,2026,2059,1776,5706.34
m,5096,2035,2060,6530,5884.61
m,18215,2024,2061,6845,10885.043089039138
k,12561,2040,2060,787,5884.61
m,12852,2025,2053,24411,5106.850330264538
k,9466,2026,2061,28836,6068.21
k,5971,2025,2060,13620,5884.61
k,14475,2025,2061,5063,6846.035207024535
k,20075,2044,2062,9559,6257.17
k,17210,2026,2061,1648,7682.498880084241
k,10605,2024,2042,3066,3360.7
m,20068,2034,2059,70041,6143.596813883432
k,13978,2026,2062,57920,6515.584484397573
k,5186,2026,2045,10292,3693.12
m,4605,2027,2063,73648,6451.77
m,9355,2034,2062,5256,6257.17
m,12247,2030,2061,14202,6068.21
k,9384,2028,2063,13029,6451.77
k,8546,2025,2062,46278,6257.17
k,9506,2026,2057,4824,5365.22
k,8460,2027,2054,43159,4889.78
m,7693,2031,2055,37283,5043.61
m,10511,2033,2061,60973,6068.21
k,7286,2026,2063,4820,6451.77
k,17128,2031,2059,19907,5706.34
m,10411,2025,2056,44983,5202.08
m,15795,2026,2049,21154,4837.6980674822835
k,9016,2028,2061,9076,6068.21
m,15061,2026,2058,67378,7015.923260769409
k,9520,2024,2062,110862,6257.17
k,11074,2026,2059,20314,5706.34
m,5993,2025,2056,48445,5202.08
k,11762,2027,2058,2277,5533.26
k,4806,2027,2059,79675,5706.34
m,6044,2030,2057,75675,5365.22
m,4781,2027,2059,85952,5706.34
k,10098,2028,2061,5116,6068.21
k,5034,2025,2060,21935,5884.61
m,10701,2030,2061,10534,6068.21
m,6485,2024,2061,72525,6068.21
k,9330,2031,2063,22294,6451.77
m,10920,2025,2052,6145,4595.52
m,10440,2024,2059,75936,5742.803726878952
m,15153,2030,2057,15169,5365.22
m,6513,2024,2055,44224,5043.61
m,25260,2028,2056,10521,9541.756891519293
k,10708,2030,2058,72377,5533.26
k,10524,2025,2061,21911,6068.21
k,21583,2024,2060,10409,10381.6136133856
k,15864,2025,2062,1211,7828.740788885388
m,7949,2032,2056,6871,5202.08
m,8557,2025,2050,44098,4318.21
m,10852,2026,2060,12066,5884.61
k,7257,2024,2063,40845,6451.77
m,6590,2026,2056,40906,5202.08
k,4503,2028,2058,24469,5533.26
m,9362,2029,2061,13637,6068.21
m,32890,2027,2060,98155,15090.785636598855
m,6674,2036,2063,57463,6451.77
m,4762,2026,2060,36202,5884.61
m,10967,2025,2049,41714,4185.61
m,5187,2032,2063,6247,6451.77
k,14955,2025,2052,92637,4766.959210248853
k,4697,2027,2060,63514,5884.61
k,5249,2025,2063,95670,6451.77
m,5525,2027,2058,10380,5533.26
m,12774,2024,2054,1954,5685.03672795027
m,7411,2024,2063,12702,6451.77
m,18944,2024,2059,11466,10420.658410152762
k,5087,2032,2055,21270,5043.61
m,7267,2024,2056,25169,5202.08
k,7980,2025,2063,93657,6451.77
k,5534,2028,2056,70622,5202.08
k,7294,2035,2042,12236,3360.7
k,5169,2028,2060,12250,5884.61
k,11777,2028,2061,8555,6068.21
m,38609,2024,2063,32357,21500.94474912954
k,6281,2025,2062,23489,6257.17
m,21917,2029,2056,25691,7793.771884499976
m,4661,2037,2059,37636,5706.34
k,14563,2024,2060,27217,7027.1468161742005
k,14867,2024,2056,22499,6059.466781310649
k,7143,2031,2058,15241,5533.26
k,10408,2034,2061,1206,6068.21
m,17265,2029,2060,113661,7403.464320209234
k,14587,2026,2062,66654,6799.458497203271
k,8930,2028,2055,666,5043.61
m,28104,2026,2053,71637,10207.259111819472
m,5076,2026,2043,6232,3468.11
m,12102,2024,2055,51415,5622.87072035496
k,32880,2027,2058,23918,11593.72962059969
k,6092,2026,2058,25344,5533.26
m,27999,2033,2055,29886,7358.4483797271
k,23026,2027,2053,2222,6740.776248457673
k,4568,2025,2042,60268,3360.7
k,8011,2026,2055,13773,5043.61
m,15647,2029,2063,42590,7683.9139662316475
m,8742,2032,2062,9394,6257.17
m,7745,2042,2057,8130,5365.22
m,12504,2025,2050,8540,4324.547286656954
m,8275,2027,2047,1534,3932.04
m,7206,2027,2061,18217,6068.21
k,25456,2025,2062,41978,12391.192699529933
k,24985,2024,2057,9136,10388.397978243858
m,16224,2024,2058,26703,8559.51291919923
m,4727,2026,2062,67021,6257.17
k,6816,2024,2063,63824,6451.77
m,17782,2027,2056,54109,7135.290772094316
k,6803,2028,2063,73076,6451.77
k,11684,2026,2058,72544,5533.26
k,10572,2027,2058,33112,5533.26
k,6274,2030,2051,14772,4454.84
k,7595,2029,2059,33920,5706.34
m,17760,2025,2060,16652,9568.069955005643
m,6119,2025,2058,13697,5533.26
k,14283,2046,2062,22305,6257.17
m,10655,2035,2061,36040,6068.21
k,7674,2024,2061,46452,6068.21
m,5075,2026,2061,78241,6068.21
m,5388,2025,2062,21024,6257.17
m,10616,2026,2058,9961,5533.26
k,14056,2024,2056,1678,5728.920769361844
m,9032,2024,2059,15851,5706.34
k,5029,2025,2062,4946,6257.17
k,9176,2025,2056,116407,5202.08
m,4699,2027,2058,8416,5533.26
k,20759,2027,2063,3506,9562.584743154952
m,19778,2031,2058,85416,6878.099526509425
m,15970,2031,2063,29369,7047.057746667697
m,9681,2024,2049,6401,4185.61
k,11291,2026,2062,13408,6257.17
k,5353,2024,2062,12446,6257.17
m,13830,2042,2055,16353,5043.61
k,6328,2030,2056,3151,5202.08
m,25389,2025,2063,7730,15311.413622873219
m,5078,2027,2048,3325,4056.92
m,5475,2033,2063,4452,6451.77
m,38636,2033,2056,7508,10547.718322120681
m,13946,2024,2060,22392,7996.715990245194
m,12011,2025,2055,33773,5217.813913857871
k,22146,2028,2046,18760,4131.060832089735
k,37403,2024,2051,1748,10319.113052723886
k,5044,2031,2056,22076,5202.08
m,5435,2030,2062,373,6257.17
m,13977,2024,2063,5256,9069.785123251695
k,20103,2024,2063,29775,10990.66479046959
m,7165,2024,2055,74561,5043.61
m,5128,2028,2059,20277,5706.34
k,13417,2024,2053,9271,4799.612349431798
m,15751,2035,2061,40196,6068.21
k,20130,2025,2053,3346,6716.570496233554
k,9601,2024,2055,17317,5043.61
k,7796,2025,2057,64833,5365.22
k,20531,2027,2059,2826,7930.495906933646
m,18865,2025,2062,71119,11055.277297119794
k,9477,2027,2059,65216,5706.34
m,7240,2025,2061,25070,6068.21
k,45408,2030,2050,2919,8116.600964401193
m,9781,2024,2049,94815,4185.61
m,9378,2033,2063,31840,6451.77
m,15578,2029,2060,111628,6680.0560197057375
k,15597,2024,2058,39854,6919.777853807065
m,19113,2029,2062,10738,8974.217661886916
m,6489,2038,2063,17580,6451.77
m,19301,2027,2054,50580,7056.722365636655
m,13280,2032,2061,1500,6068.21
k,8062,2028,2063,41042,6451.77
m,7040,2024,2054,38251,4889.78
k,15057,2024,2046,42651,3851.8700096001303
m,9396,2028,2062,35541,6257.17
k,23320,2034,2063,8045,7367.572878178336
k,7214,2036,2057,23709,5365.22
m,7244,2027,2055,8624,5043.61
m,5790,2032,2062,54438,6257.17
k,13867,2028,2044,37377,3578.95
m,9786,2024,2062,27654,6257.17
k,18689,2024,2057,95166,7949.142826380814
m,14026,2026,2050,3870,4521.438678674594
k,13763,2026,2062,29803,6415.366236855322
k,19428,2026,2059,54303,7953.567427932344
k,24868,2025,2055,95259,8972.031905160671
m,7417,2025,2060,41306,5884.61
m,37670,2027,2050,4046,10180.049471790036
m,16998,2027,2050,19659,5111.379136541873
m,6156,2032,2063,2811,6451.77
k,6900,2027,2056,48802,5202.08
m,5520,2026,2063,12678,6451.77
k,12449,2025,2055,53757,5043.61
m,11486,2025,2058,30866,5683.466682851908
m,8770,2030,2063,1565,6451.77
m,18188,2027,2061,12660,9117.111658371929
k,7264,2024,2046,4564,3810.78
k,13572,2025,2063,11312,6987.406732688511
k,25484,2024,2063,28306,13593.670902834925
m,14506,2034,2062,30119,6257.17
k,12735,2037,2062,24974,6257.17
m,12590,2028,2062,39743,6257.17
m,13507,2028,2060,141299,6125.978306918294
m,14123,2038,2061,131829,6068.21
k,6393,2026,2063,43056,6451.77
k,9536,2030,2058,15267,5533.26
m,20626,2027,2055,24737,7901.2713463135515
m,19827,2028,2063,46096,10271.774701371827
m,15483,2027,2063,54180,8465.33063080401
k,6071,2025,2063,69584,6451.77
m,5457,2025,2063,4986,6451.77
k,5776,2025,2055,11708,5043.61
k,6702,2024,2052,11096,4595.52
m,13695,2024,2057,32299,6928.25788284103
k,6778,2031,2055,54369,5043.61
k,11949,2025,2063,43825,6451.77
m,33167,2024,2062,15081,18754.19473343501
m,4532,2026,2056,10077,5202.08
m,7063,2024,2052,48122,4595.52
k,12463,2028,2060,5416,5884.61
k,10335,2027,2058,23010,5533.26
k,6148,2024,2056,11212,5202.08
m,4555,2027,2057,26436,5365.22
k,16356,2025,2060,38268,7415.230388671892
k,6066,2025,2063,9489,6451.77
k,8630,2026,2058,27380,5533.26
m,7139,2027,2059,48792,5706.34
k,10087,2025,2061,40993,6068.21
k,14561,2029,2060,14026,5884.61
m,4732,2024,2060,23075,5884.61
m,21502,2025,2057,19384,10192.350244278745
m,12251,2029,2062,115236,6257.17
m,7009,2028,2060,75702,5884.61
m,11254,2025,2061,63363,6323.781063420712
m,6833,2024,2051,37816,4454.84
m,23450,2024,2062,107625,14438.618228327061
k,5705,2027,2062,22641,6257.17
m,5283,2024,2063,66878,6451.77
k,7729,2030,2059,11040,5706.34
k,12292,2026,2060,26448,5884.61
k,42229,2029,2056,4939,11408.818505394192
m,22383,2024,2061,22819,13292.281925525225
k,24493,2024,2057,21732,10222.007823209078
k,10192,2024,2060,73674,5884.61
m,20554,2026,2045,11426,5053.069686067559
k,5745,2028,2058,4546,5533.26
k,8068,2031,2063,36183,6451.77
k,14762,2031,2059,8316,5706.34
k,5075,2031,2059,6015,5706.34
k,7227,2029,2058,17679,5533.26
m,10465,2025,2063,1515,6451.77
m,10259,2027,2063,31351,6451.77
m,8445,2024,2062,32666,6257.17
m,13143,2025,2057,12520,6230.02786999142
m,10389,2034,2063,19219,6451.77
k,19896,2028,2060,11410,7593.613586311851
k,9236,2026,2063,64396,6451.77
k,4734,2033,2060,37274,5884.61
k,4954,2024,2062,16469,6257.17
m,14025,2024,2055,58029,6516.341253757916
k,9152,2027,2050,74398,4318.21
k,5502,2036,2059,3952,5706.34
k,27596,2040,2062,10202,6257.17
k,6707,2025,2055,12269,5043.61
k,10262,2028,2061,9500,6068.21
m,7448,2024,2058,62622,5533.26
k,5323,2029,2047,38924,3932.04
m,11783,2028,2058,8556,5533.26
m,13754,2034,2062,100529,6257.17
k,8156,2025,2063,26777,6451.77
k,33207,2026,2062,60958,14573.403013735253
k,14780,2026,2061,40265,6597.75325088002
k,14878,2024,2059,46853,6885.712261453598
m,15584,2027,2061,34692,7811.802731694968
k,10046,2032,2062,35700,6257.17
m,14086,2026,2054,20612,5487.973486548894
k,12015,2028,2060,4589,5884.61
m,4913,2025,2056,3688,5202.08
m,20345,2027,2062,44429,10652.21202860955
k,16292,2029,2063,1473,6740.713506576195
k,6981,2025,2054,12863,4889.78
k,11878,2025,2055,46700,5043.61
m,6720,2033,2052,6149,4595.52
m,7813,2028,2060,76695,5884.61
m,19567,2029,2059,17065,8013.174785778766
k,33615,2024,2060,25308,14619.826521972653
k,18518,2024,2063,28051,10124.117325270656
k,17150,2026,2052,1763,5110.866973419595
k,18189,2030,2063,31161,7133.9819706910985
m,6887,2026,2054,21085,4889.78
m,9820,2027,2054,32231,4889.78
m,4933,2028,2056,5249,5202.08
m,8684,2026,2054,37975,4889.78
